Target_Y | Src_Y_Float | Pre_Idx | Pre_Weight | Post_Idx | Post_Weight
----------------------------------------------------------------------
       1 |      1.6250 |       1 |         96 |        2 |         160
       2 |      3.8750 |       3 |         32 |        4 |         224
       3 |      6.1250 |       6 |        224 |        7 |          32
       4 |      8.3750 |       8 |        160 |        9 |          96
       5 |     10.6250 |      10 |         96 |       11 |         160
       6 |     12.8750 |      12 |         32 |       13 |         224
       7 |     15.1250 |      15 |        224 |       16 |          32
       8 |     17.3750 |      17 |        160 |       18 |          96
       9 |     19.6250 |      19 |         96 |       20 |         160
      10 |     21.8750 |      21 |         32 |       22 |         224
      11 |     24.1250 |      24 |        224 |       25 |          32
      12 |     26.3750 |      26 |        160 |       27 |          96
      13 |     28.6250 |      28 |         96 |       29 |         160
      14 |     30.8750 |      30 |         32 |       31 |         224
      15 |     33.1250 |      33 |        224 |       34 |          32
      16 |     35.3750 |      35 |        160 |       36 |          96
      17 |     37.6250 |      37 |         96 |       38 |         160
      18 |     39.8750 |      39 |         32 |       40 |         224
      19 |     42.1250 |      42 |        224 |       43 |          32
      20 |     44.3750 |      44 |        160 |       45 |          96
      21 |     46.6250 |      46 |         96 |       47 |         160
      22 |     48.8750 |      48 |         32 |       49 |         224
      23 |     51.1250 |      51 |        224 |       52 |          32
      24 |     53.3750 |      53 |        160 |       54 |          96
      25 |     55.6250 |      55 |         96 |       56 |         160
      26 |     57.8750 |      57 |         32 |       58 |         224
      27 |     60.1250 |      60 |        224 |       61 |          32
      28 |     62.3750 |      62 |        160 |       63 |          96
      29 |     64.6250 |      64 |         96 |       65 |         160
      30 |     66.8750 |      66 |         32 |       67 |         224
      31 |     69.1250 |      69 |        224 |       70 |          32
      32 |     71.3750 |      71 |        160 |       72 |          96
      33 |     73.6250 |      73 |         96 |       74 |         160
      34 |     75.8750 |      75 |         32 |       76 |         224
      35 |     78.1250 |      78 |        224 |       79 |          32
      36 |     80.3750 |      80 |        160 |       81 |          96
      37 |     82.6250 |      82 |         96 |       83 |         160
      38 |     84.8750 |      84 |         32 |       85 |         224
      39 |     87.1250 |      87 |        224 |       88 |          32
      40 |     89.3750 |      89 |        160 |       90 |          96
      41 |     91.6250 |      91 |         96 |       92 |         160
      42 |     93.8750 |      93 |         32 |       94 |         224
      43 |     96.1250 |      96 |        224 |       97 |          32
      44 |     98.3750 |      98 |        160 |       99 |          96
      45 |    100.6250 |     100 |         96 |      101 |         160
      46 |    102.8750 |     102 |         32 |      103 |         224
